"","subject","predicate","object","direction","evidence","sentence","article","network"
"31162","PTPRE","interacts with","UBE2V2","right","positive","","","Pathway Commons"
"35511","LYN","interacts with","SSB","right","positive","","","Pathway Commons"
"29671","PLXNA1","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"8493","EPHA2","interacts with","ATP2A2","right","positive","","","Pathway Commons"
"15768","CSNK1D","interacts with","RPS6KA3","right","positive","","","Pathway Commons"
"20004","PDX1","interacts with","SOCS1","right","positive","","","Pathway Commons"
"29279","PLXNA2","interacts with","NBEA","right","positive","","","Pathway Commons"
"22339","NCAM1","interacts with","TPM1","right","positive","","","Pathway Commons"
"22675","RPS18","interacts with","FLNB","right","positive","","","Pathway Commons"
"10314","FANCA","interacts with","NAMPT","right","positive","","","Pathway Commons"
"13157","ITPR3","interacts with","RPL30","right","positive","","","Pathway Commons"
"15103","CSNK1E","interacts with","SHC1","right","positive","","","Pathway Commons"
"5013","TUBA4A","functional_interaction","YWHAE","right","positive","","","Functional Interaction"
"14169","KIAA0802","interacts with","PNMA2","right","positive","","","Pathway Commons"
"7334","DDX17","interacts with","RCN1","right","positive","","","Pathway Commons"
"29392","PLXNA2","interacts with","AGK","right","positive","","","Pathway Commons"
"2326","ETS2","functional_interaction","FOSL1","right","positive","","","Functional Interaction"
"591","BTK","functional_interaction","TNFRSF10A","right","positive","","","Functional Interaction"
"3043","HIST1H2AC","functional_interaction","HIST1H2BL","right","positive","","","Functional Interaction"
"17331","NOLC1","interacts with","C3orf26","right","positive","","","Pathway Commons"
"22466","ABCA1","interacts with","PRPF8","right","positive","","","Pathway Commons"
"6314","HK2","interacts with","RPS12","right","positive","","","Pathway Commons"
"31435","YTHDF1","interacts with","FLNB","right","positive","","","Pathway Commons"
"28989","ACSBG1","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"2241","EPHA2","functional_interaction","SRC","right","positive","","","Functional Interaction"
"17522","KIAA0090","interacts with","TPM1","right","positive","","","Pathway Commons"
"36064","VPS41","interacts with","PRNP","right","positive","","","Pathway Commons"
"32195","BCL6","interacts with","SAE1","right","positive","","","Pathway Commons"
"14962","CSNK1E","in same component","CEP192","right","positive","","","Pathway Commons"
"4750","SDC4","functional_interaction","TNR","right","positive","","","Functional Interaction"
"15058","CSNK1E","interacts with","ACTN4","right","positive","","","Pathway Commons"
"37789","MYD88","involved in","LPS","right","positive","Deficiency of the LPS receptor TLR4 or MyD88 involved in LPS-signaling decrease plaque size and macrophage infiltration. ","PubMed Central:1524748,Other:1475-2840-5-5,PubMed:16566827,DOI:10.1186/1475-2840-5-5","Pubmed Open-Access Full Texts"
"6634","HNRNPH1","interacts with","NCAM1","right","positive","","","Pathway Commons"
"34906","TPM1","interacts with","FMNL3","right","positive","","","Pathway Commons"
"24499","SKP2","interacts with","KLHL22","right","positive","","","Pathway Commons"
"24183","NUCB1","interacts with","HK2","right","positive","","","Pathway Commons"
"16590","NEK2","reacts with","CSNK1D","right","positive","","","Pathway Commons"
"35817","LRP8","reacts with","MAP3K11","right","positive","","","Pathway Commons"
"16875","NOLC1","interacts with","CNGA3","right","positive","","","Pathway Commons"
"5187","ZNF273","functional_interaction","ZNF467","right","positive","","","Functional Interaction"
"24312","SNCA","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"886","CD44","functional_interaction","HBEGF","right","positive","","","Functional Interaction"
"1376","COL9A2","functional_interaction","LAMA3","right","positive","","","Functional Interaction"
"34305","MYL12B","interacts with","NOLC1","right","positive","","","Pathway Commons"
"16879","NOLC1","interacts with","HSPD1","right","positive","","","Pathway Commons"
"3596","INPP1","functional_interaction","INPP4A","right","positive","","","Functional Interaction"
"9972","FOS","interacts with","TSC22D3","right","positive","","","Pathway Commons"
"25970","SRRM2","interacts with","SF3A2","right","positive","","","Pathway Commons"
"4406","PDGFA","functional_interaction","STAT5A","right","positive","","","Functional Interaction"
"10984","GSK3B","interacts with","SRRM2","right","positive","","","Pathway Commons"
"38533","PIAS1","binding to","MGLUR8","right","positive","Pias1 binding to mGluR8-C required a region N-terminal to a consensus sumoylation motif and was not affected by arginine substitution of the conserved lysine 882 within this motif. ","PubMed:16144832","Medline Abstracts"
"20398","MDH1","interacts with","PSMB1","right","positive","","","Pathway Commons"
"26559","TUBB2A","interacts with","TNRC6B","right","positive","","","Pathway Commons"
"7751","COPB2","interacts with","STX1A","right","positive","","","Pathway Commons"
"14723","LIMA1","interacts with","FLNB","right","positive","","","Pathway Commons"
"20177","MDH1","interacts with","COL1A1","right","positive","","","Pathway Commons"
"11631","HNRNPH1","interacts with","GRWD1","right","positive","","","Pathway Commons"
"31639","Rpn1","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"36717","CDCP1","interacts with","PEX19","right","positive","","","Pathway Commons"
"30505","VAPB","interacts with","EPHA4","right","positive","","","Pathway Commons"
"34943","TPM1","interacts with","KIAA0090","right","positive","","","Pathway Commons"
"358","ARHGEF9","functional_interaction","RHOH","right","positive","","","Functional Interaction"
"32561","DNAJC6","interacts with","HSD17B12","right","positive","","","Pathway Commons"
"25264","SERPINB5","interacts with","ANAPC4","right","positive","","","Pathway Commons"
"7710","COPB1","interacts with","HK2","right","positive","","","Pathway Commons"
"4016","LYN","functional_interaction","PIK3CA","right","positive","","","Functional Interaction"
"18154","CSNK1E","interacts with","SYT1","right","positive","","","Pathway Commons"
"19091","PGAM5","interacts with","TNRC6A","right","positive","","","Pathway Commons"
"12042","HNRNPH1","interacts with","MIS12","right","positive","","","Pathway Commons"
"14297","ITIH1","interacts with","PPBP","right","positive","","","Pathway Commons"
"259","AP1M2","functional_interaction","DNAJC6","right","positive","","","Functional Interaction"
"35640","LYN","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"22198","NDRG1","interacts with","PEBP1","right","positive","","","Pathway Commons"
"23595","RPS9","interacts with","TSC22D1","right","positive","","","Pathway Commons"
"23182","SFN","interacts with","SEC13","right","positive","","","Pathway Commons"
"34928","TPM1","interacts with","GNB5","right","positive","","","Pathway Commons"
"30092","PRNP","interacts with","Rpn2","right","positive","","","Pathway Commons"
"12662","EPB41L3","interacts with","DDX17","right","positive","","","Pathway Commons"
"35055","TPM1","interacts with","DLAT","right","positive","","","Pathway Commons"
"25586","TSC22D1","interacts with","RPN2","right","positive","","","Pathway Commons"
"5163","ZNF273","functional_interaction","ZNF417","right","positive","","","Functional Interaction"
"5205","ZNF273","functional_interaction","ZNF506","right","positive","","","Functional Interaction"
"30860","PLAUR","interacts with","SURF2","right","positive","","","Pathway Commons"
"5481","CADM3","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"15957","CSNK1D","reacts with","AKAP9","right","positive","","","Pathway Commons"
"12197","HCFC1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"2399","FGF8","functional_interaction","FGFR2","right","positive","","","Functional Interaction"
"156","ADRB2","functional_interaction","ADRB3","right","positive","","","Functional Interaction"
"28216","TUBA4A","interacts with","GCN1L1","right","positive","","","Pathway Commons"
"11800","HNRNPH1","interacts with","RIPK3","right","positive","","","Pathway Commons"
"6530","HNRNPH1","interacts with","SDHA","right","positive","","","Pathway Commons"
"3798","JUNB","functional_interaction","NFATC3","right","positive","","","Functional Interaction"
"38865","LYN","contributes to","SCF","right","positive","These data indicate that in BMMC, Lyn contributes to SCF-induced phosphorylation of Kit, as well as phosphorylation of Jnks and Stat3. ","PubMed:15451030","Medline Abstracts"
"20829","MCCC1","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"14906","CSNK1E","in same component","Cep110","right","positive","","","Pathway Commons"
"12790","KANK1","interacts with","MTPAP","right","positive","","","Pathway Commons"
"10946","GPC1","reacts with","PRNP","right","positive","","","Pathway Commons"
"9013","VCAN","interacts with","TPM1","right","positive","","","Pathway Commons"
"13343","IL1RAP","interacts with","MYD88","right","positive","","","Pathway Commons"
"32865","DNAJC6","interacts with","MRAS","right","positive","","","Pathway Commons"
"35162","TPM1","interacts with","RPL7A","right","positive","","","Pathway Commons"
"10705","DNAJB11","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"19510","PIAS1","interacts with","EEF2","right","positive","","","Pathway Commons"
"5862","CLOCK","interacts with","NAV3","right","positive","","","Pathway Commons"
"16502","MYL6","interacts with","TPM1","right","positive","","","Pathway Commons"
"15943","CSNK1D","reacts with","NINL","right","positive","","","Pathway Commons"
"13740","JAK1","reacts with","SOCS1","right","positive","","","Pathway Commons"
"35276","TPM1","interacts with","VDAC3","right","positive","","","Pathway Commons"
"8900","ERBB2","interacts with","SH2D5","right","positive","","","Pathway Commons"
"8125","EPHB4","interacts with","FAM83A","right","positive","","","Pathway Commons"
"5127","ZNF273","functional_interaction","ZNF311","right","positive","","","Functional Interaction"
"5864","CHP2","interacts with","SLC9A1","right","positive","","","Pathway Commons"
"14269","KPNA1","interacts with","PNMA2","right","positive","","","Pathway Commons"
"17704","CSNK1E","interacts with","HNRNPM","right","positive","","","Pathway Commons"
"31509","ZNF281","interacts with","MED25","right","positive","","","Pathway Commons"
"33615","NAPB","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"9888","FOS","co control","EGR2","right","positive","","","Pathway Commons"
"10013","FOS","interacts with","CAMSAP1L1","right","positive","","","Pathway Commons"
"14968","CSNK1E","in same component","CEP57","right","positive","","","Pathway Commons"
"29339","PLXNA2","interacts with","GRIN2A","right","positive","","","Pathway Commons"
"35992","MED25","interacts with","POLR2C","right","positive","","","Pathway Commons"
"12374","HIST1H1E","interacts with","PRDX6","right","positive","","","Pathway Commons"
"35988","MED25","interacts with","POLR2I","right","positive","","","Pathway Commons"
"31313","PYGB","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"21531","PTX3","interacts with","C1S","right","positive","","","Pathway Commons"
"9101","FBXW7","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"38256","CD40 ligand","stimulation of","LYN","right","positive","Upon CD40 ligand stimulation of lyn-/- B cells, 10-fold less IL-4 was required to induce switching from IgM to IgG1 and IgE and an increased proportion of B cells isotype switched at each IL-4 concentration. ","PubMed:10510355","Medline Abstracts"
"37892","LIGHT","induced","FOS","right","positive","Diffuse light induced Fos-positive nuclei in the inner nuclear and ganglion cell layers of the stimulated retina and in the contralateral pretectal olivary nucleus. ","PubMed:12727305","Pubmed Open-Access Full Texts,Medline Abstracts"
"6526","HNRNPH1","interacts with","DLD","right","positive","","","Pathway Commons"
"34220","MAP3K11","interacts with","FAM83A","right","positive","","","Pathway Commons"
"1659","CSNK1E","functional_interaction","YWHAH","right","positive","","","Functional Interaction"
"32059","ARPC3","interacts with","S100A6","right","positive","","","Pathway Commons"
"6131","HK2","interacts with","LAMP2","right","positive","","","Pathway Commons"
"5484","C1QTNF5","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
